Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),activity,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.085160836,0.248073265,0.03408843651,-0.08948214352,0.2659124298,rotation,,,,
0.087648753,0.2012016773,-0.07763108611,-0.09906952083,0.2373256633,rotation,,,,
0.090136669,0.1958753467,-0.07976161689,-0.09800425172,0.2330963327,rotation,,,,
0.092624638,0.1905490309,-0.09467530251,-0.09054741263,0.2312383619,rotation,,,,
0.095112607,0.1820269227,-0.1170458421,-0.08948214352,0.2341806648,rotation,,,,
0.097600524,0.1724395454,-0.134090066,-0.08415582776,0.2340891838,rotation,,,,
0.100098492,0.1649827063,-0.155395329,-0.07989477366,0.2403126641,rotation,,,,
0.102700524,0.1575258672,-0.1767006069,-0.07350318879,0.2478713822,rotation,,,,
0.105250524,0.1521995366,-0.1948100924,-0.06498108059,0.2556134032,rotation,,,,
0.107800524,0.1458079666,-0.2107890397,-0.05752423778,0.2626804529,rotation,,,,
0.110298492,0.1372858584,-0.2310290486,-0.05326318368,0.2739686021,rotation,,,,
0.112900524,0.1330247968,-0.2459427416,-0.05113265663,0.2842498502,rotation,,,,
0.115438284,0.126633212,-0.2608564198,-0.04700475931,0.2937541311,rotation,,,,
0.117936253,0.1202416345,-0.2693785429,-0.04274370521,0.2980769605,rotation,,,,
0.120438649,0.1129179448,-0.2789659202,-0.04167843983,0.3038248496,rotation,,,,
0.123036253,0.1054610983,-0.2874880135,-0.03954791278,0.3087643739,rotation,,,,
0.125586253,0.09906952083,-0.2928143442,-0.03635212034,0.3112498783,rotation,,,,
0.12811719,0.09374319762,-0.2949448824,-0.03209106624,0.3111432263,rotation,,,,
0.130619586,0.08522108942,-0.2928143442,-0.02996053919,0.306431898,rotation,,,,
0.133121982,0.07989477366,-0.2906838059,-0.02676474862,0.3026493047,rotation,,,,
0.13562443,0.0745684579,-0.2906838059,-0.02143843099,0.3008606592,rotation,,,,
0.138126826,0.07137266546,-0.2864227593,-0.02143843099,0.2959588835,rotation,,,,
0.140627399,0.06924213469,-0.2810964286,-0.01824264042,0.2900732138,rotation,,,,
0.143056982,0.06711161137,-0.2789659202,-0.01398158539,0.2872654482,rotation,,,,
0.145557555,0.06604634225,-0.276835382,-0.01291632187,0.2848978403,rotation,,,,
0.148058076,0.06711161137,-0.2747048736,-0.009720530361,0.2829509227,rotation,,,,
0.150558649,0.06817687303,-0.2683132887,-0.006524739787,0.2769163757,rotation,,,,
0.153059222,0.06817687303,-0.2640522122,-0.004394212738,0.2727470731,rotation,,,,
0.155559794,0.06817687303,-0.2587259114,-0.0001331579551,0.267557846,rotation,,,,
0.158060315,0.07137266546,-0.2555301189,0.001997369342,0.2653180894,rotation,,,,
0.160561669,0.0745684579,-0.2470080107,0.004127896391,0.2580512581,rotation,,,,
0.163092972,0.0745684579,-0.241681695,0.01051947847,0.2531425607,rotation,,,,
0.165594326,0.07669898123,-0.2352901101,0.01158474199,0.2477465961,rotation,,,,
0.16809568,0.07989477366,-0.2257027328,0.01478053257,0.2398819764,rotation,,,,
0.170596982,0.08202529699,-0.2161153555,0.01478053257,0.2316300075,rotation,,,,
0.173098336,0.08202529699,-0.2118543088,0.01265000552,0.2275311411,rotation,,,,
0.17559969,0.08522108942,-0.2065279931,0.009454214945,0.2236198296,rotation,,,,
0.178101044,0.08948214352,-0.2001364082,0.00732368743,0.2193519371,rotation,,,,
0.18059943,0.09587372839,-0.1969406158,0.00732368743,0.2191597918,rotation,,,,
0.183006044,0.1022653133,-0.1884185076,0.005193160381,0.2144450914,rotation,,,,
0.18548068,0.1086568907,-0.1873532385,0.0009321057005,0.2165835282,rotation,,,,
0.187979065,0.1129179448,-0.1830921918,-0.005459476262,0.2151813627,rotation,,,,
0.190477451,0.1181111038,-0.1798963994,-0.01291632187,0.2155916944,rotation,,,,
0.192975784,0.1245026886,-0.1767006069,-0.02143843099,0.2172179327,rotation,,,,
0.195474117,0.1308942735,-0.1724395454,-0.02783001214,0.2182732627,rotation,,,,
