"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.541554169E-2,4.299958191E0,2.659220123E0,1.010862900E1
3.542554169E-2,4.302353210E0,2.618504791E0,1.041174866E1
4.543654167E-2,3.983067169E0,2.581980743E0,1.088865692E1
5.544654166E-2,3.307971039E0,2.491269379E0,1.123518631E1
6.545629169E-2,3.076701965E0,2.420616302E0,1.103669907E1
7.546629169E-2,3.499572601E0,2.446512451E0,1.085827011E1
8.547729166E-2,3.783681793E0,2.545606384E0,1.099837875E1
9.548729169E-2,3.656446381E0,2.532433777E0,1.104583008E1
1.054972917E-1,3.260370026E0,2.405797119E0,1.075842773E1
1.155082917E-1,2.852168884E0,2.319127350E0,1.032687515E1
1.255182917E-1,2.562820587E0,2.366428986E0,9.790989532E0
1.355282917E-1,2.417472839E0,2.464475098E0,9.419462128E0
1.455392917E-1,2.413730621E0,2.551743622E0,9.079369354E0
1.555492917E-1,2.520009613E0,2.663411407E0,8.882828064E0
1.655592917E-1,2.579735413E0,2.766097870E0,8.847202148E0
1.755702917E-1,2.533780975E0,2.799628143E0,8.856931915E0
1.855802917E-1,2.414329376E0,2.756368103E0,8.975036316E0
1.955902917E-1,2.340083771E0,2.648143158E0,9.063053284E0
2.056012917E-1,2.297123108E0,2.574496307E0,9.149124298E0
2.156112917E-1,2.212698669E0,2.500999146E0,9.136101379E0
2.256212917E-1,2.024390259E0,2.439327393E0,9.037755890E0
2.356322917E-1,1.817819824E0,2.368524628E0,8.986562347E0
2.456422917E-1,1.751807098E0,2.519859924E0,8.923992462E0
2.556522917E-1,1.718127136E0,2.459535370E0,8.867709503E0
2.656632917E-1,1.908531189E0,2.712658997E0,8.919052734E0
2.756732917E-1,2.071841583E0,2.852617950E0,9.002129974E0
2.856832917E-1,2.236199799E0,2.725083160E0,9.051227875E0
2.956942917E-1,2.542612610E0,2.537373505E0,9.299262085E0
3.057042917E-1,2.271526337E0,2.548899536E0,9.158255310E0
3.157142917E-1,2.227218475E0,2.608475647E0,9.144483948E0
3.257252917E-1,2.180515594E0,2.609373779E0,9.207652588E0
3.357352917E-1,1.991907806E0,2.563119965E0,9.239236908E0
3.457452917E-1,1.750908966E0,2.492766266E0,9.082063751E0
3.557562917E-1,1.625020752E0,2.431244202E0,8.949140167E0
3.657662917E-1,1.427431641E0,2.442171478E0,8.751551056E0
3.757762917E-1,1.256187744E0,2.501747589E0,8.614585876E0
3.857872917E-1,1.369801483E0,2.392923889E0,8.569080505E0
3.957972917E-1,1.558259583E0,2.010319519E0,8.767567749E0
4.058072917E-1,1.335373077E0,1.913321228E0,9.269174652E0
4.158172917E-1,1.190025330E0,2.061962128E0,9.800569611E0
4.258282917E-1,1.275647278E0,2.108365631E0,1.003962250E1
4.358382917E-1,1.311273193E0,2.048639832E0,1.002330643E1
4.458482917E-1,1.207389221E0,1.995799713E0,9.756261749E0
4.558592917E-1,1.126856689E0,1.964814148E0,9.408385162E0
4.658692917E-1,1.184037781E0,1.915416870E0,8.998387756E0
4.758792917E-1,1.339564362E0,1.364113312E0,8.147706757E0
4.858902917E-1,1.876198425E0,1.889670410E0,8.280630341E0
4.959002917E-1,1.895358582E0,2.717598724E0,8.309370575E0
5.059102917E-1,1.551822968E0,2.690804443E0,7.786807251E0
5.159212917E-1,1.452579346E0,2.543959808E0,7.610773315E0
5.259312917E-1,1.443747711E0,2.746488647E0,7.911348267E0
5.359412917E-1,1.226848755E0,2.993624725E0,8.440198517E0
5.459522917E-1,9.571096802E-1,3.169658661E0,8.953630829E0
5.559622917E-1,7.589218140E-1,3.245700531E0,9.295370178E0
5.659722917E-1,6.719526672E-1,3.290906525E0,9.374106445E0
5.759832917E-1,6.045927429E-1,3.191662903E0,9.346863098E0
5.859932917E-1,6.358776855E-1,2.962489471E0,9.261241150E0
5.960032917E-1,7.966433716E-1,2.846031647E0,9.291777649E0
6.060142917E-1,1.085542603E0,2.773582306E0,1.017598892E1
6.160242917E-1,5.132826233E-1,2.373015289E0,9.748777313E0
6.260342917E-1,5.589376831E-1,2.173031158E0,8.759484558E0
6.360452917E-1,1.150357819E0,2.454895020E0,9.430090027E0
6.460552917E-1,8.484356689E-1,2.374512177E0,9.757608948E0
6.560652917E-1,6.927593994E-1,2.081571350E0,9.554331665E0
6.660762917E-1,9.159452820E-1,1.866917725E0,9.213789825E0
6.760862917E-1,8.909472656E-1,1.760339355E0,9.292825470E0
6.860962917E-1,4.333488464E-1,2.120041351E0,9.484726410E0
6.961072917E-1,4.924758911E-1,2.629432068E0,9.394613800E0
7.061172917E-1,6.465055847E-1,2.855312347E0,9.111253052E0
7.161272917E-1,6.765930176E-1,2.782863007E0,8.701555023E0
7.261382917E-1,6.876699829E-1,2.702629852E0,8.389004974E0
7.361482917E-1,5.920188904E-1,2.566562805E0,8.168663177E0
7.461582917E-1,4.808001709E-1,2.331551514E0,7.989186401E0
7.561692917E-1,4.182302856E-1,2.055525513E0,8.000562744E0
7.661792917E-1,5.539979553E-1,1.852996674E0,7.880063324E0
7.761892917E-1,8.424481201E-1,1.755100250E0,7.351811829E0
7.862002917E-1,1.017284546E0,1.710043945E0,7.135511627E0
7.962102917E-1,1.437909851E0,1.513802032E0,6.804699554E0
8.062202917E-1,1.987866211E0,1.219963074E0,6.276747437E0
8.162312917E-1,2.168540497E0,1.165626068E0,5.879623260E0
8.262412917E-1,2.675236816E0,1.247206421E0,5.889652405E0
8.362512917E-1,3.075654144E0,1.187031555E0,5.768404541E0
8.462622917E-1,2.882555695E0,9.270222473E-1,4.886438599E0
8.562722917E-1,2.368524628E0,4.932243347E-1,3.858077087E0
8.662822917E-1,1.986968079E0,-7.768844604E-2,2.876268768E0
8.762932917E-1,1.606010284E0,-4.769082642E-1,1.936972046E0
8.863032917E-1,7.310797119E-1,-5.688171387E-1,1.084195404E0
8.963132917E-1,5.792953491E-2,-6.839277649E-1,3.486250305E-1
9.063242917E-1,-2.200424194E-1,-9.614506531E-1,-2.748284912E-1
9.163342917E-1,-5.414241028E-1,-1.200802917E0,-8.849597168E-1
9.263442917E-1,-3.740721130E-1,-1.454076233E0,-1.577270050E0
9.363552917E-1,4.108955383E-1,-1.703757019E0,-2.450404358E0
9.463652917E-1,1.619033203E0,-1.621877289E0,-3.235072632E0
9.563752917E-1,3.512745209E0,-1.321002960E0,-3.700005798E0
9.663862917E-1,6.349346466E0,-6.821315002E-1,-3.857628021E0
9.763962917E-1,9.767638092E0,5.415737915E-1,-3.746558990E0
9.864062917E-1,1.309821213E1,2.116748199E0,-3.641926575E0
9.964172917E-1,1.617281845E1,3.796105957E0,-3.814517670E0
1.006427292E0,1.855990448E1,5.377567291E0,-4.355792084E0
1.016437292E0,1.979333954E1,6.589297485E0,-5.065915375E0
1.026448292E0,2.028386948E1,7.331603851E0,-5.525459747E0
1.036458292E0,2.030452652E1,7.723788300E0,-5.385500793E0
1.046468292E0,1.987686584E1,7.996521149E0,-4.534071350E0
1.056479292E0,1.928754135E1,8.159981232E0,-3.066074066E0
1.066489542E0,1.864298172E1,8.176896057E0,-1.296154633E0
1.076500542E0,1.799961960E1,8.050109711E0,4.876858521E-1
1.086510542E0,1.728560440E1,7.837701416E0,1.981130219E0
1.096520542E0,1.630963394E1,7.631879425E0,3.032244415E0
1.106531542E0,1.509850250E1,7.384443970E0,3.819158020E0
1.116541542E0,1.364158218E1,7.106621704E0,4.376149750E0
1.126551542E0,1.280078064E1,6.712042236E0,3.430865479E0
1.136562542E0,1.201656143E1,6.018085327E0,2.672542419E0
1.146572542E0,1.103550156E1,5.369334412E0,2.260000305E0
1.156582542E0,9.974208527E0,4.892276459E0,1.806892548E0
1.166593542E0,8.832233276E0,4.360731812E0,1.408570862E0
1.176603542E0,7.652686157E0,3.737727356E0,1.084943848E0
1.186613542E0,6.484066315E0,3.181184692E0,8.726852417E-1
1.196624542E0,5.504353638E0,2.720143433E0,6.725514221E-1
1.206634542E0,4.731810150E0,2.272873535E0,4.252656555E-1
1.216644542E0,4.130360870E0,1.751507721E0,1.065783691E-1
1.226655542E0,3.537144470E0,1.212478638E0,-1.790277100E-1
1.236665542E0,2.912044373E0,7.607180786E-1,-3.918850708E-1
1.246675542E0,2.370320892E0,3.412902832E-1,-5.216651917E-1
1.256686542E0,2.097887421E0,-3.757186890E-2,-6.393205261E-1
1.266696542E0,2.068548431E0,-4.037104797E-1,-7.987390137E-1
1.276706542E0,2.299218750E0,-7.128176880E-1,-9.927355957E-1
1.286717542E0,2.717449036E0,-9.541159058E-1,-1.206940155E0
1.296727542E0,3.007695465E0,-1.296304321E0,-1.274300079E0
1.306737542E0,3.139122162E0,-1.849703522E0,-1.140777740E0
1.316748542E0,3.194207611E0,-2.511177979E0,-8.773255920E-1
1.326758542E0,3.353326721E0,-3.268153839E0,-6.337820435E-1
1.336768542E0,3.682342529E0,-4.084256744E0,-4.402345276E-1
1.346779542E0,4.257596283E0,-4.862937469E0,-3.022215271E-1
1.356789542E0,5.153632965E0,-5.510790253E0,-3.228785706E-1
1.366799542E0,6.779701538E0,-6.108946381E0,-4.056564331E-1
1.376810542E0,9.111702118E0,-6.468498688E0,-4.543052673E-1
1.386820542E0,1.146645538E1,-6.493197327E0,-4.043092346E-1
1.396830542E0,1.368244720E1,-6.438411255E0,-4.007167053E-1
1.406841542E0,1.564666260E1,-6.688990173E0,-7.418572998E-1
1.416851542E0,1.694940353E1,-6.955286407E0,-1.475781097E0
1.426862542E0,1.749756363E1,-7.096891937E0,-2.410587158E0
1.436872542E0,1.746852402E1,-7.238347778E0,-3.348237305E0
1.446882542E0,1.714804047E1,-7.273225250E0,-4.106560364E0
1.456893542E0,1.689356964E1,-7.210805054E0,-4.539011078E0
1.466903542E0,1.675720322E1,-7.128925323E0,-4.559069366E0
1.476913542E0,1.661844177E1,-7.065157928E0,-4.301904144E0
1.486924542E0,1.640812912E1,-7.092550964E0,-3.858675842E0
1.496934542E0,1.622550888E1,-7.256160736E0,-3.241359558E0
1.506944542E0,1.605561218E1,-7.713310089E0,-2.518363037E0
1.516955542E0,1.578677124E1,-8.135581970E0,-1.814526672E0
1.526965542E0,1.537153473E1,-8.268206177E0,-1.086440735E0
1.536975542E0,1.496423172E1,-8.162825317E0,-3.758683777E-1
1.546986542E0,1.472772354E1,-7.852370911E0,2.532733154E-1
1.556996542E0,1.447624649E1,-7.417525177E0,7.728428650E-1
1.567006542E0,1.409364212E1,-6.947352905E0,1.216969299E0
1.577017542E0,1.357167755E1,-6.541097717E0,1.494791565E0
1.587027542E0,1.288595352E1,-6.177354126E0,1.805545349E0
1.597037542E0,1.201012482E1,-5.617218933E0,2.154469757E0
1.607048542E0,1.135314102E1,-4.852608948E0,2.061962128E0
1.617058542E0,1.073193283E1,-4.186494141E0,2.046244812E0
1.627068542E0,1.026415558E1,-3.660487976E0,2.227667542E0
1.637079542E0,1.005848328E1,-3.288960571E0,2.371518402E0
1.647089542E0,9.981543274E0,-3.032094727E0,2.468367004E0
1.657100542E0,1.010997620E1,-2.771636353E0,2.501747589E0
1.667110542E0,1.038794815E1,-2.587968292E0,2.418071594E0
1.677120542E0,1.070977890E1,-2.538271637E0,2.220033417E0
1.687131542E0,1.085662354E1,-2.561174011E0,1.921105042E0
1.697141542E0,1.074435699E1,-2.615660706E0,1.604363708E0
1.707151542E0,1.049362839E1,-2.722239075E0,1.349743195E0
1.717162542E0,1.012090347E1,-2.755919037E0,1.116079102E0
1.727172542E0,9.693991241E0,-2.792892151E0,8.288264465E-1
1.737182542E0,9.398356018E0,-2.956950989E0,4.969665527E-1
1.747193542E0,9.173373871E0,-3.148702240E0,2.055226135E-1
1.757203542E0,9.003177795E0,-3.337160339E0,-2.454895020E-2
1.767213542E0,9.047186279E0,-3.615281982E0,-1.869612122E-1
