"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.167154168E-2,-9.527996778E-1,2.666163146E-1,-5.671455264E-1
4.168154168E-2,-9.022461772E-1,3.805379272E-1,-5.687958598E-1
5.169254169E-2,-8.051539660E-1,4.078659415E-1,-5.308200121E-1
6.170229168E-2,-6.989183426E-1,3.315048218E-1,-5.163234472E-1
7.171229168E-2,-5.609894991E-1,1.839814037E-1,-5.807687640E-1
8.172329169E-2,-3.889974654E-1,1.347398758E-2,-6.781158447E-1
9.173329169E-2,-2.108003050E-1,-1.491673887E-1,-7.537144423E-1
1.017432917E-1,-6.849073619E-2,-2.652144432E-1,-7.838764787E-1
1.117542917E-1,3.293202817E-2,-3.106077313E-1,-7.711116672E-1
1.217642917E-1,7.210388035E-2,-2.719427943E-1,-7.413945794E-1
1.317742917E-1,7.767201215E-2,-1.646978408E-1,-7.109107375E-1
1.417852917E-1,5.454831943E-2,-6.381648779E-2,-6.898365617E-1
1.517952917E-1,1.578814164E-2,2.539700642E-2,-6.825123429E-1
1.618052917E-1,-2.278362401E-2,9.688933194E-2,-6.721243858E-1
1.718162917E-1,-4.440476373E-2,1.101145893E-1,-6.580780745E-1
1.818262917E-1,-3.136241436E-2,6.300240755E-2,-6.468334198E-1
1.918362917E-1,3.030179068E-3,-5.625917576E-3,-6.295849085E-1
2.018472917E-1,6.194811687E-2,-5.835773796E-2,-6.289796829E-1
2.118572917E-1,1.199930459E-1,-8.977292478E-2,-6.327520609E-1
2.218672917E-1,1.967731565E-1,-1.828250140E-1,-5.887599587E-1
2.318772917E-1,2.620834410E-1,-2.757450938E-1,-4.918995202E-1
2.418882917E-1,2.906781733E-1,-3.644198477E-1,-3.925586939E-1
2.518982917E-1,3.257365823E-1,-3.719499409E-1,-3.116326928E-1
2.619082917E-1,2.879254520E-1,-2.694997191E-1,-3.094312847E-1
2.719192917E-1,2.161719203E-1,-1.145700738E-1,-3.313096762E-1
2.819292917E-1,1.687171608E-1,4.942273721E-2,-3.656958044E-1
2.919392917E-1,1.201163381E-1,2.693960965E-1,-3.630044162E-1
3.019502917E-1,6.888927519E-2,2.619214952E-1,-3.380148411E-1
3.119602917E-1,5.200376734E-2,2.632749379E-1,-3.375232220E-1
3.219702917E-1,3.820312396E-2,2.179424614E-1,-3.570696712E-1
3.319812917E-1,1.840119064E-2,1.932794452E-1,-3.687361777E-1
3.419912917E-1,-1.092490274E-2,1.573091894E-1,-3.891111314E-1
3.520012917E-1,-4.362719133E-2,1.766578555E-1,-4.073582888E-1
3.620122917E-1,-8.927682787E-2,1.426191032E-1,-4.044387043E-1
3.720222917E-1,-1.345058084E-1,7.336068153E-2,-3.802239001E-1
3.820322917E-1,-1.764870286E-1,2.651858144E-2,-3.693352938E-1
3.920432917E-1,-2.056041658E-1,1.587232947E-2,-3.922674954E-1
4.020532917E-1,-1.971437782E-1,-7.478424907E-2,-3.910831809E-1
4.120632917E-1,-1.403590590E-1,-1.973857880E-1,-3.874205351E-1
