"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.047705790E-1,1.413808465E0,-1.814389229E-2,-3.046913147E-1,1.446381822E0
1.095412040E-1,1.411352873E0,7.587790489E-2,-2.845191956E-1,1.441743930E0
1.143125580E-1,1.408356428E0,1.283597946E-1,-3.328304291E-1,1.452831773E0
1.190847980E-1,1.361607552E0,1.491298676E-1,-4.189548492E-1,1.432388916E0
1.238561000E-1,1.266156435E0,1.467838287E-1,-4.667081833E-1,1.357392404E0
1.286267250E-1,1.139252067E0,1.249270439E-1,-5.238399506E-1,1.260123141E0
1.333981830E-1,1.078765869E0,1.501071453E-1,-6.856679916E-1,1.287015365E0
1.381703180E-1,9.256065488E-1,8.562660217E-2,-9.115076065E-1,1.301893050E0
1.429416730E-1,7.248719931E-1,1.070237160E-2,-9.617271423E-1,1.204355862E0
1.477122980E-1,7.187836170E-1,3.316020966E-2,-8.120222092E-1,1.084956016E0
1.524836520E-1,8.278086185E-1,9.392237663E-2,-7.109575272E-1,1.095239301E0
1.572558910E-1,1.023691416E0,1.431190968E-1,-7.112503052E-1,1.254712791E0
1.620271930E-1,1.464054227E0,2.662377357E-1,-9.746599197E-1,1.778847737E0
1.667978180E-1,1.290862203E0,1.770334244E-1,-9.617033005E-1,1.619425607E0
1.715692770E-1,1.066251159E0,-7.770252228E-2,-1.000800133E0,1.464421429E0
1.763414120E-1,7.599846125E-1,-5.063633919E-1,-1.148153305E0,1.467050274E0
1.811127660E-1,6.792194843E-1,-6.109969616E-1,-8.104267120E-1,1.221248480E0
1.858833910E-1,6.353999376E-1,-5.644834042E-1,-4.658403397E-1,9.692171152E-1
1.906547450E-1,1.360688329E0,-2.204818726E-1,-8.629684448E-1,1.626283961E0
1.954269850E-1,1.359077215E0,9.886240959E-2,-7.401103973E-1,1.550686317E0
2.001982870E-1,1.307961464E0,2.731564045E-1,-8.113718033E-1,1.563234408E0
2.049689120E-1,1.237079978E0,1.485900879E-1,-1.045572281E0,1.626550731E0
2.097403700E-1,1.289162159E0,-2.462596893E-1,-1.720547676E0,2.163993349E0
2.145125060E-1,1.044499874E0,-3.008637428E-1,-1.826082230E0,2.125105947E0
2.192838600E-1,7.467437983E-1,-3.665575981E-1,-1.834337711E0,2.014146373E0
2.240544850E-1,3.982504010E-1,-3.472068310E-1,-1.675781250E0,1.757099531E0
2.288258390E-1,1.815456748E-1,-2.536010742E-1,-1.343304157E0,1.379035313E0
2.335980790E-1,3.457522392E-2,-1.457073689E-1,-6.357173920E-1,6.531176662E-1
2.383693810E-1,1.548039913E-2,2.254819870E-2,-1.454896927E-1,1.480382204E-1
2.431400060E-1,2.084392905E-1,1.132073402E-1,-1.261062622E-1,2.686366116E-1
2.479114640E-1,1.667484641E-1,8.938121796E-2,-2.690696716E-1,3.289263452E-1
2.526836000E-1,2.423639297E-1,7.672357559E-2,-3.550691605E-1,4.366931305E-1
2.574549540E-1,2.912386656E-1,-5.265951157E-3,-3.172054291E-1,4.306587684E-1
2.622255790E-1,4.347516298E-1,-7.092261314E-2,-2.891626358E-1,5.269288630E-1
2.669969330E-1,5.658890009E-1,-1.625208855E-1,-3.432569504E-1,6.815194300E-1
2.717691730E-1,8.444236517E-1,-6.539344788E-3,-8.507986069E-1,1.198729467E0
2.765405270E-1,1.017206669E0,-1.658177376E-1,-5.128946304E-1,1.151201907E0
2.813111000E-1,1.203546047E0,-1.437530518E-1,-2.541160583E-1,1.238451856E0
2.860825580E-1,1.413235903E0,-3.992462158E-2,-3.166942596E-1,1.448835721E0
2.908547450E-1,1.475727797E0,8.552694321E-2,-3.866777420E-1,1.527942101E0
2.956260480E-1,1.286934495E0,2.065942287E-1,-2.878961563E-1,1.334827991E0
3.003966730E-1,9.417552948E-1,1.945240498E-1,-5.853834152E-1,1.125795889E0
3.051681310E-1,8.747414351E-1,1.389536858E-1,-5.084199905E-1,1.021259806E0
3.099402660E-1,9.652127028E-1,5.001378059E-2,-4.542713165E-1,1.067941650E0
3.147116200E-1,9.710966349E-1,-3.884267807E-2,-3.289194107E-1,1.026024077E0
3.194822450E-1,9.066550732E-1,-8.318924904E-2,-1.764698029E-1,9.274079276E-1
3.242536000E-1,9.225898981E-1,-6.051826477E-2,2.018928528E-3,9.245748518E-1
3.290258390E-1,7.268663645E-1,-8.103418350E-2,2.885465622E-1,7.862317529E-1
3.337971410E-1,-3.015563488E-1,-3.929743767E-1,1.208917618E0,1.306463508E0
3.385677660E-1,-1.794496179E0,-6.671118736E-2,4.482320786E0,4.828650592E0
3.433392250E-1,-6.734118462E-1,-4.562139511E-3,3.879726410E0,3.937738100E0
3.481113600E-1,8.302249908E-1,-6.007289886E-2,3.259757996E0,3.364357959E0
3.528827140E-1,1.470103979E0,4.791021347E-3,3.319273949E0,3.630262829E0
3.576533390E-1,1.588062048E0,-5.770683289E-3,2.803627968E0,3.222158306E0
3.624246930E-1,1.416157246E0,-1.625888348E-1,2.057041168E0,2.502669543E0
3.671969330E-1,1.415772915E0,-3.780293465E-1,1.706440926E0,2.249279833E0
3.719682870E-1,1.763513446E0,-4.321563244E-1,6.785583496E-1,1.938344705E0
3.767388600E-1,2.070566654E0,-6.702580452E-1,-4.289054871E-1,2.218209195E0
3.815103180E-1,1.801258564E0,-6.581363678E-1,-1.848987579E0,2.663912717E0
3.862824540E-1,1.073825836E0,-4.010226727E-1,-2.890338421E0,3.109337115E0
3.910538080E-1,6.009471416E-1,-7.616591454E-2,-3.493880272E0,3.546003112E0
3.958244330E-1,3.085284829E-1,2.652921677E-1,-2.729527473E0,2.759690198E0
4.005958910E-1,-3.987312317E-3,4.572818279E-1,-4.232120514E-1,6.230818640E-1
4.053680270E-1,-1.812952757E-1,3.276402950E-1,1.152079582E0,1.211405590E0
4.101393810E-1,7.828994989E-1,-1.047518253E-1,7.886037827E-1,1.116154334E0
4.149100060E-1,8.026497364E-1,1.386771202E-1,-6.888198853E-2,8.174488800E-1
4.196813600E-1,1.037998199E0,4.956281185E-1,-8.359107971E-1,1.421912218E0
4.244536000E-1,1.977035046E0,5.258090496E-1,-1.680899620E0,2.647747394E0
4.292249020E-1,2.803785563E0,3.195309639E-1,-2.408729076E0,3.710160277E0
4.339955270E-1,3.257756233E0,-4.177808762E-3,-2.641811371E0,4.194300949E0
4.387669850E-1,3.248174667E0,-2.280251980E-1,-2.596062183E0,4.164393476E0
4.435391200E-1,2.933130264E0,-3.071758747E-1,-2.179730892E0,3.667265593E0
4.483104750E-1,2.460201263E0,-3.293604851E-1,-1.652324200E0,2.981818882E0
4.530811000E-1,1.872769117E0,-4.280457497E-1,-1.414801598E0,2.385822896E0
4.578524540E-1,1.474151611E0,-6.139440536E-1,-1.326563358E0,2.076010746E0
4.626246930E-1,1.361630321E0,-8.943328857E-1,-1.634719849E0,2.307851257E0
4.673960480E-1,1.007117987E0,-1.137253523E0,-1.868718624E0,2.408265249E0
4.721666200E-1,6.967699528E-1,-1.323540449E0,-2.102996826E0,2.580667227E0
4.769380790E-1,6.319606900E-1,-1.445592165E0,-2.763901711E0,3.182493313E0
4.817102660E-1,8.584294319E-1,-1.519171953E0,-3.666869640E0,4.060876441E0
4.864815680E-1,1.156147242E0,-1.555153728E0,-4.534317493E0,4.931046004E0
4.912521930E-1,1.393051744E0,-1.647314429E0,-4.882963181E0,5.338311288E0
4.960236520E-1,1.570643663E0,-1.832214832E0,-4.694061279E0,5.278081470E0
5.007957870E-1,2.389015436E0,-2.487533092E0,-5.093571663E0,6.151397234E0
5.055671410E-1,1.864439368E0,-2.102644920E0,-4.247505188E0,5.092990295E0
5.103377660E-1,1.130581260E0,-1.785511017E0,-3.705733776E0,4.265996530E0
5.151091200E-1,8.447923660E-1,-2.002880335E0,-3.986781597E0,4.540884416E0
5.198813600E-1,7.532024384E-1,-2.255616188E0,-4.224468231E0,4.847808798E0
5.246527140E-1,2.108516693E-1,-2.010966778E0,-3.586539268E0,4.117245406E0
5.294232870E-1,-1.268734932E-1,-1.678853273E0,-3.191004276E0,3.607929252E0
5.341947450E-1,-2.452213764E-1,-1.391749501E0,-2.037811279E0,2.479873990E0
5.389668810E-1,-1.100293994E0,-1.889917731E0,4.516213894E0,5.017830591E0
5.437382350E-1,-1.031936884E0,-5.651922226E-1,-4.799652100E-1,1.270709480E0
5.485088600E-1,-1.321932077E0,-1.132915854E0,-8.097000122E-1,1.920056473E0
5.532803180E-1,-1.880161047E0,-2.485612154E0,2.702047348E0,4.124843417E0
5.580524540E-1,-1.953374267E0,-1.947256804E0,2.535243034E0,3.746323174E0
5.628238080E-1,-1.707742333E0,-1.824174523E0,1.618179798E0,2.976995537E0
5.675944330E-1,-1.441874266E0,-2.348121643E0,1.593843460E0,3.183239486E0
