"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.765829800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.242970500E-2,1.867465973E-1,1.044416428E-2,2.316498756E-1,2.977331642E-1
4.720043400E-2,4.070994854E-1,-2.090549469E-2,4.767184258E-1,6.272379837E-1
5.197189200E-2,5.833339691E-1,-1.399133205E-1,6.715412140E-1,9.004564725E-1
5.674423600E-2,7.159173489E-1,-2.969343662E-1,7.541818619E-1,1.081433285E0
6.151564200E-2,8.239072561E-1,-4.322407246E-1,7.818899155E-1,1.215321789E0
6.628637100E-2,8.418126106E-1,-5.205852985E-1,7.431421280E-1,1.237706648E0
7.105783000E-2,8.613297939E-1,-6.272411346E-1,6.755924225E-1,1.261643997E0
7.583017300E-2,8.634251356E-1,-7.910935879E-1,5.141487122E-1,1.278937421E0
8.060158000E-2,8.943895698E-1,-1.152892470E0,2.301092148E-1,1.477174330E0
8.537230900E-2,2.078428268E-1,-1.240059614E0,1.701419830E0,2.115602970E0
9.014376700E-2,-6.433274746E-1,-1.140271068E0,2.191684723E0,2.552953245E0
9.491611100E-2,-6.576694250E-1,-1.608514309E0,1.144613266E0,2.080862053E0
9.968751700E-2,-7.921714783E-1,-1.879900813E0,1.389793396E0,2.468418198E0
1.044582460E-1,-8.400155306E-1,-1.827909470E0,1.252059937E0,2.369500624E0
1.092297050E-1,-7.005714178E-1,-1.586511850E0,1.096288681E0,2.051747800E0
1.140019960E-1,-5.107115507E-1,-1.315991640E0,9.754276276E-1,1.715843624E0
1.187734550E-1,-3.739497662E-1,-9.827096462E-1,9.041109085E-1,1.386713096E0
1.235441320E-1,-3.794986606E-1,-6.005085111E-1,1.103280067E0,1.312195341E0
1.283156940E-1,-3.760818839E-1,-1.843144298E-1,1.268838882E0,1.336174203E0
1.330879340E-1,-2.841356993E-1,1.946500242E-1,1.373064995E0,1.415602065E0
1.378593920E-1,-1.846255064E-1,5.480301976E-1,1.343297005E0,1.462487784E0
1.426300690E-1,-1.830496192E-1,7.315282822E-1,1.406907082E0,1.596254468E0
1.474016320E-1,-1.373292208E-1,5.410909057E-1,2.707288742E0,2.764245108E0
