"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.398004167E-2,-1.204510778E-1,-1.049086094E0,-1.749461442E-1,1.070372014E0
2.396204165E-2,-2.163360715E-1,-1.123761058E0,-4.099424556E-2,1.145129136E0
3.394404170E-2,-2.935690880E-1,-1.108160257E0,8.130264282E-2,1.149265890E0
4.392604169E-2,-3.530793786E-1,-1.041371584E0,1.587035209E-1,1.110993533E0
5.390804168E-2,-4.380259812E-1,-9.825452566E-1,1.959448904E-1,1.093460718E0
6.389004167E-2,-5.438334346E-1,-1.222027063E0,2.275382876E-1,1.356789822E0
7.387204166E-2,-5.184617639E-1,-1.562390804E0,2.575715482E-1,1.666196486E0
8.385404170E-2,-3.516276479E-1,-1.615725994E0,2.461531609E-1,1.671766691E0
9.383604169E-2,-1.165235117E-1,-1.675562143E0,2.073109597E-1,1.692354590E0
1.038180417E-1,1.309485584E-1,-1.695614100E0,9.821194410E-2,1.703496488E0
1.138000417E-1,3.470124006E-1,-1.551638246E0,-1.125378385E-1,1.593945926E0
1.237820417E-1,4.771417379E-1,-1.350606441E0,-3.912057877E-1,1.484871700E0
1.337640417E-1,4.734418094E-1,-1.266374588E0,-6.714432836E-1,1.509532321E0
1.437470417E-1,3.510932922E-1,-1.357285619E0,-9.043033719E-1,1.668309126E0
1.537290417E-1,1.366496980E-1,-1.447521210E0,-1.060423493E0,1.799580167E0
1.637110417E-1,-1.233134940E-1,-1.443862319E0,-1.146979451E0,1.848108892E0
1.736930417E-1,-4.255814850E-1,-1.246368170E0,-1.210435629E0,1.788772659E0
1.836750417E-1,-6.442615390E-1,-1.041656852E0,-1.222283363E0,1.730346366E0
1.936570417E-1,-8.138838410E-1,-1.043577552E0,-1.221585155E0,1.801036175E0
2.036390417E-1,-9.428566694E-1,-1.117475867E0,-1.247935772E0,1.922257710E0
2.136210417E-1,-1.132964015E0,-6.847456694E-1,-1.323539734E0,1.871961944E0
2.236030417E-1,-1.210013390E0,-3.925251588E-2,-1.365631580E0,1.824999391E0
2.335850417E-1,-1.106480002E0,3.564319611E-1,-1.322447181E0,1.760740834E0
2.435670417E-1,-9.459959865E-1,5.266079903E-1,-1.217614651E0,1.629358714E0
2.535490417E-1,-8.074993491E-1,5.323726535E-1,-1.090920091E0,1.457937751E0
2.635310417E-1,-7.356628180E-1,4.687734544E-1,-9.367188215E-1,1.279996283E0
2.735130417E-1,-7.598919868E-1,2.736465931E-1,-7.601142526E-1,1.109095112E0
2.834950417E-1,-8.786127567E-1,-5.718276650E-2,-5.231124759E-1,1.024146917E0
2.934770417E-1,-1.058372140E0,-4.669140875E-1,-2.575239241E-1,1.185107136E0
3.034590417E-1,-1.280248404E0,-8.766042590E-1,3.630168736E-3,1.551606967E0
3.134410417E-1,-1.500807643E0,-1.323927164E0,2.122044116E-1,2.012520169E0
3.234230417E-1,-1.675304174E0,-1.658474207E0,3.160514534E-1,2.378459437E0
3.334050417E-1,-1.754178405E0,-1.687818050E0,3.410026133E-1,2.458079419E0
3.433870417E-1,-1.766138911E0,-1.616205573E0,3.175058961E-1,2.414990083E0
3.533690417E-1,-1.712650418E0,-1.544559360E0,2.711445391E-1,2.322144361E0
3.633510417E-1,-1.642174840E0,-1.540730238E0,2.717784345E-1,2.268138309E0
3.733330417E-1,-1.557152629E0,-1.615293145E0,3.408816159E-1,2.269382412E0
3.833150417E-1,-1.457195997E0,-1.761934638E0,4.686672390E-1,2.333984324E0
3.932970417E-1,-1.298075914E0,-1.903480530E0,6.223678589E-1,2.386541631E0
4.032790417E-1,-1.085950136E0,-1.880545020E0,7.687191963E-1,2.303620297E0
4.132610417E-1,-8.858417869E-1,-1.575606227E0,8.479285240E-1,1.996555393E0
4.232430417E-1,-7.088586688E-1,-1.279770613E0,8.375933170E-1,1.685780531E0
4.332250417E-1,-5.446987748E-1,-1.011919379E0,7.755645514E-1,1.386426326E0
4.432070417E-1,-3.603219688E-1,-7.039075494E-1,6.741773486E-1,1.039150065E0
4.531890417E-1,-2.061238736E-1,-1.840899885E-1,5.087527037E-1,5.789693330E-1
4.631710417E-1,-1.109020635E-1,2.289361805E-1,2.627813220E-1,3.657390677E-1
4.731530417E-1,-5.896749347E-2,5.406554937E-1,5.930995569E-2,5.470860984E-1
4.831350417E-1,-4.685846716E-2,7.434664965E-1,-4.290683568E-2,7.461763490E-1
4.931170417E-1,-1.743612997E-2,5.797776580E-1,-2.077644691E-3,5.800435052E-1
5.030990417E-1,8.505583555E-2,9.340436757E-2,2.623649836E-1,2.911945323E-1
5.130810417E-1,2.055886388E-1,-4.350852966E-1,8.302733898E-1,9.596456667E-1
5.230630417E-1,3.745058477E-1,-9.213192463E-1,1.377929807E0,1.699345267E0
5.330450417E-1,6.475107670E-1,-1.119737267E0,1.625949144E0,2.077689188E0
5.430270417E-1,1.049238086E0,-1.136700749E0,1.744524956E0,2.331599553E0
5.530090417E-1,1.585489631E0,-9.059431553E-1,1.773625135E0,2.545634791E0
5.629910417E-1,2.124164581E0,-5.769184232E-1,1.580803394E0,2.709953765E0
5.729730417E-1,2.175652504E0,-8.263540864E-1,9.259158969E-1,2.504724564E0
5.829550417E-1,1.331972599E0,-1.917386532E0,-1.170499809E-2,2.334664671E0
5.929370417E-1,8.077031970E-1,-2.087410688E0,-4.360639751E-1,2.280311300E0
6.029190417E-1,5.159469843E-1,-1.648234963E0,-2.138584852E-1,1.740291710E0
6.129010417E-1,4.382228851E-1,-1.326882005E0,2.288648784E-1,1.415992332E0
6.228830417E-1,4.803512692E-1,-9.931232929E-1,6.071357727E-1,1.259223993E0
6.328650417E-1,4.335060120E-1,-6.276792884E-1,8.785949945E-1,1.163545408E0
6.428470417E-1,3.220908642E-1,-2.727353871E-1,1.067982197E0,1.148352337E0
6.528300417E-1,2.042491734E-1,7.642454468E-3,1.147030115E0,1.165098372E0
6.628120417E-1,1.538142711E-1,1.492791772E-1,1.103646159E0,1.124267738E0
6.727940417E-1,2.097371817E-1,2.434472442E-1,1.105273128E0,1.151036460E0
6.827760417E-1,3.835932612E-1,1.852152497E-1,1.220393777E0,1.292597946E0
6.927580417E-1,6.572655439E-1,-1.391588300E-1,1.364008427E0,1.520487476E0
7.027400417E-1,9.778204560E-1,-4.289507568E-1,1.366056919E0,1.733852099E0
7.127220417E-1,1.328771830E0,-5.825312734E-1,1.182099104E0,1.871452792E0
