"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.516083600E-2,2.480732650E-1,3.408843651E-2,-8.948214352E-2,2.659124298E-1
8.764875300E-2,2.012016773E-1,-7.763108611E-2,-9.906952083E-2,2.373256633E-1
9.013666900E-2,1.958753467E-1,-7.976161689E-2,-9.800425172E-2,2.330963327E-1
9.262463800E-2,1.905490309E-1,-9.467530251E-2,-9.054741263E-2,2.312383619E-1
9.511260700E-2,1.820269227E-1,-1.170458421E-1,-8.948214352E-2,2.341806648E-1
9.760052400E-2,1.724395454E-1,-1.340900660E-1,-8.415582776E-2,2.340891838E-1
1.000984920E-1,1.649827063E-1,-1.553953290E-1,-7.989477366E-2,2.403126641E-1
1.027005240E-1,1.575258672E-1,-1.767006069E-1,-7.350318879E-2,2.478713822E-1
1.052505240E-1,1.521995366E-1,-1.948100924E-1,-6.498108059E-2,2.556134032E-1
1.078005240E-1,1.458079666E-1,-2.107890397E-1,-5.752423778E-2,2.626804529E-1
1.102984920E-1,1.372858584E-1,-2.310290486E-1,-5.326318368E-2,2.739686021E-1
1.129005240E-1,1.330247968E-1,-2.459427416E-1,-5.113265663E-2,2.842498502E-1
1.154382840E-1,1.266332120E-1,-2.608564198E-1,-4.700475931E-2,2.937541311E-1
1.179362530E-1,1.202416345E-1,-2.693785429E-1,-4.274370521E-2,2.980769605E-1
1.204386490E-1,1.129179448E-1,-2.789659202E-1,-4.167843983E-2,3.038248496E-1
1.230362530E-1,1.054610983E-1,-2.874880135E-1,-3.954791278E-2,3.087643739E-1
1.255862530E-1,9.906952083E-2,-2.928143442E-1,-3.635212034E-2,3.112498783E-1
1.281171900E-1,9.374319762E-2,-2.949448824E-1,-3.209106624E-2,3.111432263E-1
1.306195860E-1,8.522108942E-2,-2.928143442E-1,-2.996053919E-2,3.064318980E-1
1.331219820E-1,7.989477366E-2,-2.906838059E-1,-2.676474862E-2,3.026493047E-1
1.356244300E-1,7.456845790E-2,-2.906838059E-1,-2.143843099E-2,3.008606592E-1
1.381268260E-1,7.137266546E-2,-2.864227593E-1,-2.143843099E-2,2.959588835E-1
1.406273990E-1,6.924213469E-2,-2.810964286E-1,-1.824264042E-2,2.900732138E-1
1.430569820E-1,6.711161137E-2,-2.789659202E-1,-1.398158539E-2,2.872654482E-1
1.455575550E-1,6.604634225E-2,-2.768353820E-1,-1.291632187E-2,2.848978403E-1
1.480580760E-1,6.711161137E-2,-2.747048736E-1,-9.720530361E-3,2.829509227E-1
1.505586490E-1,6.817687303E-2,-2.683132887E-1,-6.524739787E-3,2.769163757E-1
1.530592220E-1,6.817687303E-2,-2.640522122E-1,-4.394212738E-3,2.727470731E-1
1.555597940E-1,6.817687303E-2,-2.587259114E-1,-1.331579551E-4,2.675578460E-1
1.580603150E-1,7.137266546E-2,-2.555301189E-1,1.997369342E-3,2.653180894E-1
1.605616690E-1,7.456845790E-2,-2.470080107E-1,4.127896391E-3,2.580512581E-1
1.630929720E-1,7.456845790E-2,-2.416816950E-1,1.051947847E-2,2.531425607E-1
1.655943260E-1,7.669898123E-2,-2.352901101E-1,1.158474199E-2,2.477465961E-1
1.680956800E-1,7.989477366E-2,-2.257027328E-1,1.478053257E-2,2.398819764E-1
1.705969820E-1,8.202529699E-2,-2.161153555E-1,1.478053257E-2,2.316300075E-1
1.730983360E-1,8.202529699E-2,-2.118543088E-1,1.265000552E-2,2.275311411E-1
1.755996900E-1,8.522108942E-2,-2.065279931E-1,9.454214945E-3,2.236198296E-1
1.781010440E-1,8.948214352E-2,-2.001364082E-1,7.323687430E-3,2.193519371E-1
1.805994300E-1,9.587372839E-2,-1.969406158E-1,7.323687430E-3,2.191597918E-1
1.830060440E-1,1.022653133E-1,-1.884185076E-1,5.193160381E-3,2.144450914E-1
1.854806800E-1,1.086568907E-1,-1.873532385E-1,9.321057005E-4,2.165835282E-1
1.879790650E-1,1.129179448E-1,-1.830921918E-1,-5.459476262E-3,2.151813627E-1
1.904774510E-1,1.181111038E-1,-1.798963994E-1,-1.291632187E-2,2.155916944E-1
1.929757840E-1,1.245026886E-1,-1.767006069E-1,-2.143843099E-2,2.172179327E-1
1.954741170E-1,1.308942735E-1,-1.724395454E-1,-2.783001214E-2,2.182732627E-1
1.979725030E-1,1.351553202E-1,-1.671132296E-1,-3.635212034E-2,2.179799733E-1
2.004708880E-1,1.394163817E-1,-1.607216448E-1,-4.913528636E-2,2.183635751E-1
2.029233880E-1,1.415469050E-1,-1.564605981E-1,-6.285055727E-2,2.201491259E-1
2.053758880E-1,1.458079666E-1,-1.500690132E-1,-7.350318879E-2,2.217732865E-1
2.078283880E-1,1.521995366E-1,-1.436774284E-1,-8.096003532E-2,2.244157518E-1
2.103267740E-1,1.521995366E-1,-1.383511126E-1,-9.480846673E-2,2.264826145E-1
2.127333880E-1,1.553953290E-1,-1.330247968E-1,-1.054610983E-1,2.301420172E-1
2.151858880E-1,1.596563905E-1,-1.298290044E-1,-1.171789989E-1,2.368050912E-1
2.176383880E-1,1.649827063E-1,-1.191763729E-1,-1.288969070E-1,2.409081025E-1
