"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.422901600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
7.921969300E-2,-1.838314533E-1,1.535844803E-2,-2.036199570E-1,2.747562047E-1
8.421037000E-2,-3.511819243E-1,4.830265045E-2,-2.924032211E-1,4.595231591E-1
8.920104700E-2,-4.610375762E-1,8.539676666E-2,-3.312559128E-1,5.740894827E-1
9.415828700E-2,-5.027737617E-1,7.038331032E-2,-3.140444756E-1,5.969582887E-1
9.914214100E-2,-5.199819207E-1,1.257324219E-2,-2.116603851E-1,5.615508908E-1
1.041259950E-1,-5.839068890E-1,-1.044297218E-2,-2.992630005E-2,5.847665295E-1
1.091098490E-1,-5.763943195E-1,-1.697731018E-2,1.846923828E-1,6.054997250E-1
1.141071930E-1,-5.070356727E-1,-2.869844437E-3,3.590641022E-1,6.213054312E-1
1.190938080E-1,-4.086469710E-1,6.199884415E-2,5.269756317E-1,6.697309310E-1
1.240804220E-1,-2.980878651E-1,1.324665546E-1,6.307125092E-1,7.100718503E-1
1.290670370E-1,-1.387747675E-1,1.692664623E-1,6.281890869E-1,6.652301108E-1
1.340457350E-1,1.511114836E-2,2.346518040E-1,6.151485443E-1,6.585571710E-1
1.390307870E-1,1.083718240E-1,2.916498184E-1,5.514335632E-1,6.331532543E-1
1.440157870E-1,2.176426947E-1,3.212447166E-1,4.168167114E-1,5.694757953E-1
1.490007870E-1,2.847781777E-1,4.149901867E-1,2.814626694E-1,5.766599516E-1
1.539835470E-1,3.105793595E-1,4.935257435E-1,1.799850464E-1,6.102637258E-1
1.589680780E-1,3.156822026E-1,5.539216995E-1,6.654548645E-2,6.410248076E-1
1.639526100E-1,2.856787741E-1,5.681116581E-1,-4.686355591E-3,6.359128714E-1
1.689371410E-1,2.588752210E-1,5.863211155E-1,-3.635025024E-2,6.419580759E-1
