"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.785356000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
7.283423700E-2,-3.812265396E-2,2.438378334E-2,3.795528412E-2,5.906360324E-2
7.781486200E-2,-7.588982582E-2,6.037926674E-2,1.044292450E-1,1.425145211E-1
8.279553900E-2,-1.206617355E-1,4.164266586E-2,1.725263596E-1,2.146129325E-1
8.780772600E-2,-1.949260235E-1,7.001399994E-3,2.077322006E-1,2.849523494E-1
9.279475800E-2,-2.349972725E-1,-1.127243042E-2,2.817487717E-1,3.670601532E-1
9.778178900E-2,-2.476279736E-1,-4.244089127E-3,3.616304398E-1,4.383083396E-1
1.027687680E-1,-2.099058628E-1,-4.412460327E-2,5.399951935E-1,5.810355074E-1
1.077460600E-1,-1.421308517E-1,-6.974148750E-2,7.012901306E-1,7.189387327E-1
1.127311640E-1,-9.910631180E-2,-6.833100319E-2,7.634010315E-1,7.728339549E-1
1.177162160E-1,-3.232955933E-2,-8.367085457E-2,7.851104736E-1,7.902179877E-1
1.227012680E-1,9.865069389E-2,-6.433296204E-2,7.536087036E-1,7.627560341E-1
1.276812160E-1,1.995303631E-1,-6.815457344E-2,5.766544342E-1,6.139932802E-1
1.326652780E-1,2.857739925E-1,-6.906151772E-2,3.747463226E-1,4.763098512E-1
1.376492890E-1,3.045129776E-1,-4.024147987E-2,2.761211395E-1,4.130259240E-1
1.426332990E-1,2.829566002E-1,1.692676544E-2,2.302818298E-1,3.652131900E-1
1.476210600E-1,2.864353657E-1,7.189226151E-2,1.637029648E-1,3.376571881E-1
1.526058510E-1,2.342371941E-1,1.026480198E-1,3.170585632E-2,2.576993216E-1
1.575906430E-1,1.494863033E-1,1.265656948E-1,-8.612251282E-2,2.139675611E-1
1.625754350E-1,1.082563400E-2,1.441168785E-1,-1.867170334E-1,2.361146323E-1
1.675638200E-1,-1.117396355E-1,1.878035069E-1,-2.463169098E-1,3.292839555E-1
1.725493410E-1,-1.582953930E-1,2.112185955E-1,-3.401222229E-1,4.305274126E-1
1.775348620E-1,-2.082915306E-1,2.064354420E-1,-4.417915344E-1,5.302647578E-1
1.825203830E-1,-2.248988152E-1,1.793835163E-1,-5.216197968E-1,5.956887907E-1
1.875096530E-1,-2.205960751E-1,1.630342007E-1,-5.302419662E-1,5.969918942E-1
1.924960080E-1,-1.800758839E-1,8.091521263E-2,-4.887504578E-1,5.271163112E-1
1.974822580E-1,-1.485543251E-1,4.361701012E-2,-4.356546402E-1,4.623481336E-1
2.024685080E-1,-1.073334217E-1,4.023265839E-2,-3.688182831E-1,3.862202172E-1
2.074353830E-1,-7.798361778E-2,2.088356018E-2,-2.720985413E-1,2.838224513E-1
2.124177780E-1,-3.476834297E-2,1.148581505E-2,-2.456798553E-1,2.483935445E-1
2.174001740E-1,2.923583984E-2,2.075314522E-2,-1.690597534E-1,1.728196389E-1
2.223825700E-1,6.014895439E-2,-3.551626205E-2,-2.501201630E-2,7.419503045E-2
2.273819450E-1,8.662796021E-2,-3.510355949E-2,9.207153320E-2,1.312014886E-1
2.323678300E-1,7.616233826E-2,-3.548908234E-2,1.739692688E-1,1.931980415E-1
2.373536640E-1,2.043151855E-2,5.083322525E-3,2.079324722E-1,2.089956940E-1
2.423394970E-1,-3.981208801E-2,5.305290222E-2,1.301212311E-1,1.460518660E-1
2.473155390E-1,-1.136386395E-1,8.739185333E-2,-3.569793701E-2,1.477342855E-1
2.522993410E-1,-1.234345436E-1,1.159026623E-1,-2.527685165E-1,3.042391110E-1
2.572831950E-1,-1.007781029E-1,1.135351658E-1,-4.946899414E-1,5.174597550E-1
2.622670490E-1,-1.161313057E-1,1.187050343E-1,-6.726598740E-1,6.928554477E-1
2.672483510E-1,-1.144857407E-1,7.557368279E-2,-8.214087486E-1,8.327849054E-1
2.722316850E-1,-7.706212997E-2,1.185200214E-1,-9.326090813E-1,9.432630947E-1
2.772150180E-1,-5.609202385E-2,1.357600689E-1,-9.745330811E-1,9.855413931E-1
2.821982990E-1,-4.173183441E-2,1.348176003E-1,-9.885449409E-1,9.985681908E-1
2.872068930E-1,-2.863335609E-2,1.210482121E-1,-1.120656013E0,1.127538221E0
2.921953830E-1,2.914905548E-3,8.088731766E-2,-1.188437462E0,1.191190520E0
2.971838720E-1,-1.422858238E-2,2.687692642E-2,-1.111763000E0,1.112178848E0
3.021723620E-1,-4.335474968E-2,6.730723381E-2,-9.195818901E-1,9.230605347E-1
3.071276740E-1,-1.273307800E-1,1.226890087E-1,-7.028317451E-1,7.247331801E-1
3.121094970E-1,-2.007977962E-1,1.738457680E-1,-5.856676102E-1,6.430774880E-1
3.170912680E-1,-2.063724995E-1,1.333975792E-1,-5.842313766E-1,6.338066141E-1
3.220730910E-1,-2.839021683E-1,1.415252686E-1,-5.130872726E-1,6.032316240E-1
3.270522050E-1,-3.762068748E-1,1.551566124E-1,-3.874664307E-1,5.619033920E-1
3.320334550E-1,-4.581534863E-1,8.488368988E-2,-3.043270111E-1,5.565292333E-1
3.370147050E-1,-5.568449497E-1,5.903625488E-2,-2.507429123E-1,6.135418368E-1
3.419959550E-1,-6.136629581E-1,7.426714897E-2,-2.283124924E-1,6.589570773E-1
3.470094450E-1,-6.623535156E-1,6.391191483E-2,-1.846809387E-1,6.905823352E-1
3.519972050E-1,-6.043834686E-1,-2.618885040E-2,-7.527542114E-2,6.096159628E-1
3.569849140E-1,1.516666412E-1,-4.798409939E-1,1.507205963E-1,5.253254683E-1
3.619726740E-1,4.506905079E-1,-6.684534550E-1,6.989955902E-1,1.067027080E0
3.669691330E-1,1.206185818E-1,-2.730841637E-1,8.982038498E-1,9.465167502E-1
3.719573620E-1,4.076981544E-2,2.280068398E-2,9.520492554E-1,9.531945414E-1
3.769455390E-1,2.482652664E-2,1.833307743E-1,1.002062798E0,1.018997733E0
3.819337680E-1,7.655382156E-3,2.534542084E-1,9.257745743E-1,9.598730140E-1
3.868764240E-1,3.894758224E-2,1.852636337E-1,7.155342102E-1,7.401545339E-1
3.918623620E-1,4.091334343E-2,1.202442646E-1,4.200973511E-1,4.388785358E-1
3.968482470E-1,3.107833862E-2,1.127080917E-1,1.087741852E-1,1.596897005E-1
4.018341330E-1,-1.803493500E-2,1.106603146E-1,-1.951990128E-1,2.251080156E-1
4.068098100E-1,-7.241892815E-2,1.147055626E-1,-4.947767258E-1,5.130359399E-1
4.117952260E-1,-1.432304382E-1,1.419889927E-1,-7.693185806E-1,7.953156046E-1
4.167805910E-1,-2.137525082E-1,1.858570576E-1,-9.321985245E-1,9.742828489E-1
4.217660600E-1,-2.299032211E-1,2.865910530E-1,-1.044122219E0,1.106879005E0
4.267485080E-1,-2.683835030E-1,3.776664734E-1,-1.091658115E0,1.185908559E0
4.317337680E-1,-3.528904915E-1,3.910689354E-1,-1.120564938E0,1.238197234E0
4.367190280E-1,-3.766610622E-1,4.410765171E-1,-1.119200706E0,1.260568233E0
4.417042890E-1,-3.785181046E-1,5.104854107E-1,-1.085464001E0,1.257816921E0
4.467241850E-1,-4.085953236E-1,5.445742607E-1,-1.043277740E0,1.245768722E0
4.517111640E-1,-4.265782833E-1,5.765552521E-1,-9.618244171E-1,1.199787981E0
4.566981430E-1,-4.588484764E-1,5.804669857E-1,-9.337005615E-1,1.191335630E0
4.616851220E-1,-4.744217396E-1,5.799639225E-1,-9.368548393E-1,1.199637916E0
4.666530910E-1,-4.831411839E-1,5.890090466E-1,-9.423756599E-1,1.211787500E0
4.716391330E-1,-4.782209396E-1,5.956852436E-1,-9.667315483E-1,1.232114468E0
4.766251740E-1,-4.743793011E-1,6.095538139E-1,-9.836006165E-1,1.250624542E0
4.816112160E-1,-4.598586559E-1,6.163880825E-1,-1.007262230E0,1.267273235E0
4.865760600E-1,-4.727430344E-1,5.854296684E-1,-1.063606262E0,1.302870736E0
4.915610600E-1,-5.034253597E-1,5.645244122E-1,-1.074155331E0,1.313748294E0
4.965460600E-1,-5.683827400E-1,5.628843307E-1,-1.115092278E0,1.372344161E0
5.015310600E-1,-6.368992329E-1,5.495033264E-1,-1.140975952E0,1.417540356E0
5.065162160E-1,-7.470331192E-1,5.435099602E-1,-1.142469406E0,1.469250796E0
5.115012680E-1,-8.655081987E-1,5.351686478E-1,-1.155201435E0,1.539480523E0
5.164862160E-1,-9.833058119E-1,5.433685780E-1,-1.164658070E0,1.618199045E0
5.214712680E-1,-1.053084731E0,5.463931561E-1,-1.208682060E0,1.693648504E0
5.264625180E-1,-1.110843539E0,5.490443707E-1,-1.346127987E0,1.829612977E0
5.314478830E-1,-1.170663476E0,5.158374310E-1,-1.431619167E0,1.919915277E0
5.364331430E-1,-1.232320666E0,4.259121418E-1,-1.584249496E0,2.051794786E0
5.414184550E-1,-1.278971076E0,3.649826050E-1,-1.741751671E0,2.191501357E0
5.464152780E-1,-1.313057780E0,2.783441544E-1,-1.873350143E0,2.304568715E0
5.514012160E-1,-1.341755509E0,2.016592026E-1,-2.059860229E0,2.466576260E0
5.563871010E-1,-1.388818026E0,1.443073750E-1,-2.217796803E0,2.620737069E0
5.613729870E-1,-1.437610149E0,7.983183861E-2,-2.363937378E0,2.767904621E0
5.663447580E-1,-1.483559847E0,1.045942307E-3,-2.564665318E0,2.962846453E0
5.713299140E-1,-1.529488325E0,-3.962969780E-2,-2.769577026E0,3.164089435E0
5.763151220E-1,-1.580537081E0,-9.704089165E-2,-2.980890274E0,3.375384604E0
5.813003300E-1,-1.616132736E0,-1.375277042E-1,-3.193627357E0,3.581906558E0
5.862862680E-1,-1.682597876E0,-1.606357098E-1,-3.407583237E0,3.803756427E0
5.912714760E-1,-1.756779909E0,-1.682474613E-1,-3.651086807E0,4.055245705E0
5.962566850E-1,-1.846280575E0,-1.835808754E-1,-3.881114960E0,4.301802788E0
6.012419450E-1,-1.910516739E0,-2.462399006E-1,-4.088463783E0,4.519540287E0
6.062419450E-1,-1.961234808E0,-3.363852501E-1,-4.285344124E0,4.724803834E0
6.112279350E-1,-1.966907501E0,-4.201092720E-1,-4.415227890E0,4.851747545E0
6.162138720E-1,-1.944371462E0,-5.681781769E-1,-4.530990601E0,4.963192787E0
6.211998620E-1,-1.943096876E0,-7.939267159E-1,-4.609208584E0,5.064656836E0
6.261732990E-1,-1.931082606E0,-1.006292701E0,-4.605417252E0,5.094268651E0
6.311586640E-1,-1.917321801E0,-1.207734466E0,-4.570254803E0,5.101173825E0
6.361440280E-1,-1.898474574E0,-1.441534758E0,-4.482717514E0,5.077103946E0
6.411293410E-1,-1.935716987E0,-1.684142113E0,-4.314711094E0,5.019966806E0
6.461068410E-1,-1.985282540E0,-1.912004590E0,-4.119175911E0,4.956280713E0
6.510917890E-1,-1.980685592E0,-2.180413246E0,-3.922083378E0,4.905105030E0
6.560767370E-1,-2.033739567E0,-2.461008787E0,-3.666272402E0,4.861503286E0
6.610616850E-1,-2.136904001E0,-2.604659557E0,-3.484837770E0,4.847133628E0
6.660455910E-1,-2.208993435E0,-2.646173239E0,-3.393548727E0,4.837153891E0
6.710304870E-1,-2.294824123E0,-2.650595188E0,-3.422717333E0,4.899680250E0
6.760153830E-1,-2.417322159E0,-2.632410288E0,-3.505247116E0,5.005975198E0
6.810002780E-1,-2.456954718E0,-2.591409206E0,-3.603113174E0,5.072913631E0
6.859855390E-1,-2.399436235E0,-2.589303017E0,-3.723807335E0,5.131132957E0
6.909704350E-1,-2.236134768E0,-2.660910130E0,-3.836354256E0,5.176712798E0
6.959553300E-1,-2.018420219E0,-2.764876127E0,-3.940448284E0,5.219740689E0
7.009402780E-1,-1.780494690E0,-2.909715414E0,-4.133284569E0,5.359164716E0
7.059292890E-1,-1.508513451E0,-3.054191589E0,-4.304678917E0,5.489440743E0
7.109144450E-1,-1.259151697E0,-3.200684071E0,-4.457365036E0,5.630092768E0
7.158995490E-1,-1.050799608E0,-3.315649271E0,-4.537011623E0,5.716833422E0
7.208847050E-1,-9.182331562E-1,-3.444438457E0,-4.475473404E0,5.721640552E0
7.258640800E-1,-8.370466232E-1,-3.572765827E0,-4.311667919E0,5.661782665E0
7.308489240E-1,-7.671751976E-1,-3.664561749E0,-4.007621765E0,5.484396303E0
7.358337160E-1,-7.116050720E-1,-3.815085173E0,-3.582503080E0,5.281627114E0
7.408186120E-1,-6.138935089E-1,-3.933601856E0,-3.128876209E0,5.063591130E0
7.457988200E-1,-4.792881012E-1,-4.051762581E0,-2.610565186E0,4.843712180E0
7.507834550E-1,-3.223805428E-1,-4.193970680E0,-2.089178324E0,4.696592951E0
7.557680390E-1,-1.379771233E-1,-4.394282818E0,-1.540914059E0,4.658666688E0
7.607526740E-1,2.413463593E-2,-4.598590851E0,-1.003781319E0,4.706930765E0
7.657220490E-1,1.981267929E-1,-4.836622715E0,-4.518418312E-1,4.861721357E0
7.707059030E-1,3.885235786E-1,-5.046580315E0,3.493309021E-3,5.061515153E0
7.756897580E-1,5.698742867E-1,-5.227361679E0,3.028540611E-1,5.267047314E0
7.806736120E-1,7.309179306E-1,-5.394040108E0,5.989642143E-1,5.476190997E0
7.856816850E-1,8.838324547E-1,-5.525333881E0,7.656807899E-1,5.647720016E0
7.906667370E-1,1.010795593E0,-5.570517540E0,8.666014671E-1,5.727422762E0
7.956517890E-1,1.090385914E0,-5.620062828E0,8.760714531E-1,5.791506611E0
8.006367890E-1,1.113550663E0,-5.659132004E0,7.563786507E-1,5.817033503E0
8.056246530E-1,1.161366463E0,-5.658604145E0,5.751428604E-1,5.805115179E0
8.106097580E-1,1.226842403E0,-5.610945225E0,3.205323219E-1,5.752442053E0
8.155950180E-1,1.255158424E0,-5.591729641E0,1.073708534E-1,5.731875046E0
8.205801740E-1,1.358362198E0,-5.599782944E0,1.657724380E-2,5.762203718E0
8.255470490E-1,1.505205154E0,-5.641735554E0,-5.725097656E-2,5.839357866E0
8.305313200E-1,1.721472740E0,-5.692624092E0,-8.252382278E-2,5.947793509E0
8.355155910E-1,1.981135845E0,-5.778862953E0,1.593017578E-2,6.109043300E0
8.404998620E-1,2.215305328E0,-5.874395370E0,1.797978878E-1,6.280798193E0
8.454933510E-1,2.438687325E0,-5.922179222E0,3.204107285E-1,6.412648879E0
8.504780910E-1,2.706455708E0,-6.006623268E0,5.011920929E-1,6.607239900E0
8.554628300E-1,2.920984745E0,-6.091836452E0,6.597440243E-1,6.788069344E0
8.604475700E-1,3.154094696E0,-6.190094948E0,7.886369228E-1,6.991962315E0
8.654213720E-1,3.403471947E0,-6.294826031E0,8.990588188E-1,7.212264749E0
8.704055390E-1,3.619044781E0,-6.379389763E0,9.770932198E-1,7.399243882E0
8.753897580E-1,3.879463673E0,-6.513560295E0,1.027187109E0,7.650609091E0
